14.75,15.96,Martin,What the hell are you doing?
16.14,17.41,Daphne,Ironing your son's socks.
17.69,20.07,Martin,Why don't you just twist them into little balls like you do mine?
21.05,22.86,Daphne,He says it bruises the cashmere.
23.58,27.49,Daphne,"He likes them pressed, folded, they're neatly arranged in those sock dividers."
28.17,32.22,Daphne,"I saw them in a catalog once, but couldn't you imagine who in the world would ever buy such silly things?"
34.13,35.53,Daphne,Of course I haven't met Dr. Crane yet.
37.35,39.72,Martin,I used to think they'd been some sort of mix-up at the hospital.
40.10,42.87,Martin,"Of course, when Niles came along, he shot that theory all to hell."
46.23,47.73,Frasier,"Oh, Dad. Dad, please."
48.07,50.22,Frasier,"Coaster, your beer is sweating."
50.66,53.03,Martin,So am I. Do you want to shove one of those under my can?
59.07,59.83,Daphne,"If he could, he would."
63.79,65.35,Frasier,"Oh, Mrs. Greenway, what a pleasant surprise."
65.35,66.47,Dorathea,I knew it. That's him.
66.92,67.58,Frasier,Won't you come in?
68.44,71.39,Dorathea,"I had to see him again before I was sure, but now I'm positive."
71.81,75.88,Dorathea,That is the horny little mixed breed who got my Phoebe pregnant.
78.57,80.66,Martin,"Hey, you can't just bust in here accusing my dog."
80.74,81.53,Dorathea,"Oh, it's him all right."
81.59,84.14,Dorathea,I had to keep shooing him away from Phoebe down at the park.
84.60,85.05,Dorathea,Look at him.
85.67,87.57,Dorathea,He doesn't care whose life he's ruined.
89.53,92.84,Dorathea,All he cares about is his own selfish pleasure.
94.80,96.09,Martin,"You know your problem is, Dorothy."
96.45,97.34,Martin,You got a bad attitude.
97.42,97.50,Dorathea,Oh.
98.36,99.93,Martin,That's why nobody sits with you in the park.
100.41,101.14,Martin,It's what you seek.
101.54,103.69,Frasier,"Mrs. Greenway, there's no way that Eddie could be the father."
103.78,104.50,Frasier,He's been neutered.
104.72,105.46,Dorathea,"Oh, really?"
106.11,107.85,Dorathea,"Well, then, how do you explain these?"
108.35,109.17,Frasier,"Oh, my God!"
114.23,115.27,Frasier,They're miniature Eddie's!
115.65,117.10,Dorathea,You're so adorable!
117.36,120.73,Dorathea,"Well, I'm glad you think so, because they're yours."
120.93,122.19,Frasier,"Oh, bad dog!"
122.94,123.74,Frasier,Look what you did!
125.57,126.25,Frasier,"Here, take these."
126.89,129.02,Frasier,"Dad? Dad, I expect an explanation."
129.52,131.15,Frasier,"All this time, I thought Eddie had been fixed."
131.57,132.69,Martin,All you had to do was walk.
133.00,135.59,Frasier,"Oh, well, I'm glad to say I've never been that bored."
135.85,138.68,Daphne,"Oh, couldn't you just eat them all?"
138.68,140.93,Frasier,"Oh, for God's sake, please, don't-don't love them."
140.95,143.30,Frasier,They'll think they're staying and keep them off the couch.
144.20,146.27,Frasier,"Oh, were you thinking of letting him run free in the park?"
146.29,148.58,Frasier,Haven't you seen the way he tries to romance my towel warmer?
151.23,152.95,Martin,"Well, he's cooped up here all day."
153.01,154.42,Martin,"When we go to the park, I'll let him off the leash"
154.44,155.79,Martin,so he can get a little exercise.
155.79,157.53,Frasier,"Please, apparently, that's not all he got."
159.80,161.75,Daphne,I think I've found the perfect name for this woman.
161.75,162.23,Frasier,Stop!
163.44,166.57,Frasier,"Those only need names if you're planning to call them to you, which we're not."
167.37,171.84,Frasier,"Oh, now, listen, you get right back in there, you major little thing."
171.86,173.47,Frasier,"Come on, come on. All right."
173.47,175.07,Frasier,"All right, now, I've got to run down to the radio station,"
175.39,177.10,Frasier,"but believe me, we're gonna have a discussion about this when I get back."
177.10,179.97,Martin,"Oh, relax, Frasier. I'll have any taken care of tomorrow."
180.23,182.85,Frasier,"Yes, well, you better. Now, Daphne, give me that box, please."
183.47,184.72,Daphne,Where are you taking the puppies?
185.04,187.45,Frasier,To see if I can unload some of them down at the station.
187.85,190.03,Daphne,"Oh, well, couldn't we just keep them for a while?"
190.09,192.28,Frasier,"No, we don't want them taking after their father."
193.87,194.85,Frasier,Maybe too late already.
195.37,197.19,Frasier,"Oh, for God's sake."
197.90,199.51,Frasier,Stop staring at me!
205.33,207.51,Frasier,"Hello, Roz. Don't you look lovely."
207.51,209.10,Roz,"I know what's in the box, and I don't want one."
209.20,210.36,Frasier,But I didn't say anything.
211.67,213.13,Roz,Betty from accounting called to warn me.
213.19,214.58,Roz,"Where did you find them, anyway?"
214.74,215.62,Frasier,In my living room.
216.54,219.43,Frasier,These are Eddie's mongrel seed.
221.69,223.59,Frasier,"You don't know anybody that wants six puppies, do you?"
223.65,225.34,Roz,"Six? All right, Eddie."
225.46,226.12,Frasier,"Oh, please."
227.50,229.53,Frasier,I've been traipsing up and down the hallway
229.59,230.97,Frasier,for an hour trying to unload them.
231.00,232.60,Frasier,I haven't had the slightest bit of luck.
232.80,235.13,Roz,"Well, Frasier, not everybody likes dogs."
235.53,237.03,Roz,Take me. I'm a cat person.
237.73,239.18,Roz,"I mean, it's not like I'd ever buy a cat mug"
239.24,240.62,Roz,"or a cat calendar or anything,"
240.74,242.37,Roz,but I had a cat when I was growing up.
243.03,244.05,Roz,We were almost inseparable.
244.61,246.82,Roz,"Muffles or Scruffles, something like that."
248.88,253.70,Frasier,"You know, Ross, it's entirely possible that there is a dog lover inside you that's just"
253.78,254.59,Frasier,dying to get out.
255.29,255.83,Frasier,Don't you think so?
255.91,256.81,Frasier,"Come on, come on."
257.64,258.56,Frasier,Just take a look.
259.06,259.37,Frasier,Come on.
259.45,260.94,Frasier,Take away the look.
261.12,261.97,Frasier,"Come on, look."
264.44,265.63,Roz,He's adorable.
266.25,268.07,Roz,"Oh, come here, little fella."
268.25,268.86,Roz,"Oh, huh"
269.85,271.97,Roz,Aren't you the cutiest litte thing?
273.38,274.89,Roz,"Oh, yeah. Give me a kiss. Give me a kiss."
275.30,276.63,Roz,"Oh, I love you, too."
278.08,279.04,Roz,There. Happy now?
284.05,287.06,Frasier,"Ross, how can you just toss him aside"
287.07,288.83,Frasier,after such a tender display of affection?
289.23,290.33,Roz,"I can do it with men, too."
292.94,295.05,Roz,"Come on, Fraser. It's time to start the show."
